PeakID (cmd=annotatePeaks.pl filtrd_peaks.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr14-521	chr14	101180814	101181027	+	1	NA	Intergenic	Intergenic	-12282	NM_003836	8788	Hs.116631	NM_003836	ENSG00000185559	DLK1	DLK|DLK-1|Delta1|FA1|PREF1|Pref-1|ZOG|pG2	delta like non-canonical Notch ligand 1	protein-coding
chr3-189	chr3	14693095	14693275	+	1	NA	promoter-TSS (NM_016474)	promoter-TSS (NM_016474)	-68	NR_135523	51244	Hs.517820	NM_016474	ENSG00000154781	CCDC174	C3orf19|HSPC212|IHPM|IHPMR	coiled-coil domain containing 174	protein-coding
chr16-472	chr16	85587790	85587946	+	1	NA	Intergenic	CpG	-57161	NM_001134473	23199	Hs.461647	NM_014615	ENSG00000131149	GSE1	CRHSP24|KIAA0182	Gse1 coiled-coil protein	protein-coding
chr3-1015	chr3	131748159	131748371	+	1	NA	intron (NM_001289112, intron 1 of 15)	intron (NM_001289112, intron 1 of 15)	6021	NM_130808	131034	Hs.199877	NM_130808	ENSG00000196353	CPNE4	COPN4|CPN4	copine 4	protein-coding
chr21-124	chr21	40693410	40693630	+	1	NA	intron (NR_046655, intron 2 of 2)	L2a|LINE|L2	5887	NR_046655	100874093	Hs.588102	NR_046655	ENSG00000238141	BRWD1-AS1	-	BRWD1 antisense RNA 1	ncRNA
chr16-334	chr16	1823159	1823273	+	1	NA	promoter-TSS (NM_023936)	promoter-TSS (NM_023936)	-13	NM_001257370	197342	Hs.7247	NM_001010865	ENSG00000197774	EME2	SLX2B|gs125	essential meiotic structure-specific endonuclease subunit 2	protein-coding
chr7-58	chr7	30067801	30068010	+	1	NA	promoter-TSS (NM_001197027)	promoter-TSS (NM_001197027)	-72	NM_001350975	84725	Hs.233495	NM_032639	ENSG00000106086	PLEKHA8	FAPP2	pleckstrin homology domain containing A8	protein-coding
chr11-35	chr11	69309187	69309350	+	1	NA	TTS (NR_120545)	TTS (NR_120545)	8939	NR_120545	101928292	Hs.736219	NR_120542		LINC01488	BRCAT8	long intergenic non-protein coding RNA 1488	ncRNA
chr20-2248	chr20	62853770	62853967	+	1	NA	intron (NM_004535, intron 14 of 22)	intron (NM_004535, intron 14 of 22)	-33180	NM_018257	55251	Hs.744845	NM_018257	ENSG00000203880	PCMTD2	C20orf36	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2	protein-coding
chr19-282	chr19	2342182	2342366	+	1	NA	intron (NM_001077238, intron 9 of 15)	intron (NM_001077238, intron 9 of 15)	13645	NM_152988	56928	Hs.744026	NM_152988	ENSG00000005206	SPPL2B	IMP-4|IMP4|PSH4|PSL1	signal peptide peptidase like 2B	protein-coding
chr1-303	chr1	109373242	109373434	+	1	NA	intron (NR_049760, intron 8 of 13)	intron (NR_049760, intron 8 of 13)	26388	NM_152763	254268	Hs.729441	NM_152763	ENSG00000162641	AKNAD1	C1orf62	AKNA domain containing 1	protein-coding
chr16-630	chr16	29302256	29302383	+	1	NA	Intergenic	Intergenic	-11289	NR_002939	440352	Hs.658149	NR_002939		SNX29P2	RUNDC2C	sorting nexin 29 pseudogene 2	pseudo
chr14-236	chr14	57735472	57735601	+	1	NA	promoter-TSS (NR_026895)	promoter-TSS (NR_026895)	-70	NM_018229	55745	Hs.597349	NM_018229	ENSG00000053770	AP5M1	C14orf108|MUDENG|Mu5|MuD	adaptor related protein complex 5 subunit mu 1	protein-coding
chr5-57	chr5	134462901	134462983	+	1	NA	intron (NM_001277348, intron 2 of 5)	intron (NM_001277348, intron 2 of 5)	-87205	NR_105050	101927953	Hs.436898	NR_105049	ENSG00000249082	C5orf66-AS1	Epist	C5orf66 antisense RNA 1	ncRNA
chr3-43	chr3	127872093	127872313	+	1	NA	promoter-TSS (NM_021937)	promoter-TSS (NM_021937)	-97	NM_021937	60678	Hs.477498	NM_021937	ENSG00000132394	EEFSEC	EFSEC|SELB	eukaryotic elongation factor, selenocysteine-tRNA specific	protein-coding
chr12-222	chr12	133003492	133003657	+	1	NA	Intergenic	L2a|LINE|L2	-63583	NM_001142641	57666	Hs.411138	NM_001142641	ENSG00000112787	FBRSL1	-	fibrosin like 1	protein-coding
chr2-398	chr2	132430356	132430556	+	1	NA	Intergenic	Intergenic	-9544	NM_001354872	29798	Hs.635289	NM_013310		C2orf27A	C2orf27|C2orf27B	chromosome 2 open reading frame 27A	protein-coding
chr9-50	chr9	80204470	80204690	+	1	NA	intron (NM_004297, intron 1 of 6)	intron (NM_004297, intron 1 of 6)	58652	NM_004297	9630	Hs.657795	NM_004297	ENSG00000156049	GNA14	-	G protein subunit alpha 14	protein-coding
chr7-72	chr7	144533036	144533235	+	1	NA	promoter-TSS (NM_001350885)	promoter-TSS (NM_001350885)	11	NM_001350886	27010	Hs.660232	NM_022445	ENSG00000196511	TPK1	HTPK1|PP20|THMD5	thiamin pyrophosphokinase 1	protein-coding
chr9-321	chr9	132586308	132586447	+	1	NA	promoter-TSS (NM_000113)	promoter-TSS (NM_000113)	64	NM_000113	1861	Hs.534312	NM_000113	ENSG00000136827	TOR1A	DQ2|DYT1	torsin family 1 member A	protein-coding
chr6-94	chr6	109010518	109010738	+	1	NA	Intergenic	Intergenic	-62229	NR_033376	387111	Hs.520310	NR_033376	ENSG00000203801	LINC00222	C6orf181|NCRNA00222|dJ354J5.2	long intergenic non-protein coding RNA 222	ncRNA
chr3-373	chr3	149939180	149939353	+	1	NA	Intergenic	Intergenic	-17040	NR_110168	101927992	Hs.534682	NR_110167	ENSG00000244541	LINC01213	-	long intergenic non-protein coding RNA 1213	ncRNA
chr12-308	chr12	92380001	92380153	+	1	NA	non-coding (NR_046159, exon 6 of 6)	non-coding (NR_046159, exon 6 of 6)	155412	NR_046159	256021	Hs.651357	NM_001256373	ENSG00000257242	LINC01619	C12orf79	long intergenic non-protein coding RNA 1619	ncRNA
chr3-743	chr3	45209061	45209231	+	1	NA	Intergenic	LTR33|LTR|ERVL	-21232	NM_178181	64866	Hs.476093	NM_022842	ENSG00000163814	CDCP1	CD318|SIMA135|TRASK	CUB domain containing protein 1	protein-coding
chr5-458	chr5	151151434	151151603	+	1	NA	promoter-TSS (NM_005754)	promoter-TSS (NM_005754)	42	NM_198395	10146	Hs.3353	NM_005754	ENSG00000145907	G3BP1	G3BP|HDH-VIII	G3BP stress granule assembly factor 1	protein-coding
chr22-144	chr22	45106669	45106879	+	1	NA	intron (NM_001017528, intron 2 of 8)	(CAGGG)n|Simple_repeat|Simple_repeat	8696	NM_181333	55615	Hs.102336	NM_015366	ENSG00000186654	PRR5	FLJ20185k|PP610|PROTOR-1|PROTOR1	proline rich 5	protein-coding
chr1-27	chr1	229357251	229357287	+	1	NA	Intergenic	Intergenic	-46721	NR_039659	100616234		NR_039659	ENSG00000283468	MIR4454	-	microRNA 4454	ncRNA
chr1-872	chr1	115605378	115605530	+	1	NA	intron (NM_001308315, intron 2 of 6)	intron (NM_001308315, intron 2 of 6)	26667	NM_001308316	10100	Hs.310458	NM_005725	ENSG00000134198	TSPAN2	NET3|TSN2|TSPAN-2	tetraspanin 2	protein-coding
chr5-400	chr5	106893094	106893259	+	1	NA	intron (NM_001962, intron 1 of 4)	intron (NM_001962, intron 1 of 4)	113420	NM_001962	1946	Hs.288741	NM_001962	ENSG00000184349	EFNA5	AF1|EFL5|EPLG7|GLC1M|LERK7|RAGS	ephrin A5	protein-coding
chr7-121	chr7	30387756	30387959	+	1	NA	intron (NM_147128, intron 2 of 4)	intron (NM_147128, intron 2 of 4)	-21809	NR_002186	222161	Hs.112423	NR_002186		DKFZP586I1420	-	uncharacterized protein DKFZp586I1420	pseudo
chr13-137	chr13	25496942	25497155	+	1	NA	promoter-TSS (NR_047595)	promoter-TSS (NR_047595)	-21	NR_047594	55835	Hs.513379	NM_018451	ENSG00000151849	CENPJ	BM032|CENP-J|CPAP|LAP|LIP1|MCPH6|SASS4|SCKL4|Sas-4	centromere protein J	protein-coding
chr8-314	chr8	103329489	103329709	+	1	NA	intron (NM_001282873, intron 14 of 58)	L1PA3|LINE|L1	77920	NR_125415	101927221	Hs.492445	NR_125415	ENSG00000246263	UBR5-AS1	-	UBR5 antisense RNA 1	ncRNA
chr3-1006	chr3	129342350	129342557	+	1	NA	Intergenic	Intergenic	-16871	NM_015103	23129	Hs.301685	NM_015103	ENSG00000004399	PLXND1	PLEXD1	plexin D1	protein-coding
chr5-63	chr5	159848808	159848964	+	1	NA	promoter-TSS (NM_001282382)	promoter-TSS (NM_001282382)	-31	NM_001282382	9232	Hs.350966	NM_004219	ENSG00000164611	PTTG1	EAP1|HPTTG|PTTG|TUTR1	pituitary tumor-transforming 1	protein-coding
chr5-154	chr5	180258126	180258215	+	1	NA	non-coding (NR_045680, exon 1 of 1)	non-coding (NR_045680, exon 1 of 1)	213	NR_045679	729678	Hs.348292	NR_027183	ENSG00000245060	LINC00847	-	long intergenic non-protein coding RNA 847	ncRNA
chr1-67	chr1	174992499	174992683	+	1	NA	promoter-TSS (NR_037606)	promoter-TSS (NR_037606)	0	NM_022100	63931	Hs.654858	NM_022100	ENSG00000120333	MRPS14	DJ262D12.2|HSMRPS14|MRP-S14|S14mt	mitochondrial ribosomal protein S14	protein-coding
chr6-379	chr6	92216404	92216539	+	1	NA	Intergenic	L1ME3|LINE|L1	-14907	NR_039786	100616174		NR_039786	ENSG00000263734	MIR4643	-	microRNA 4643	ncRNA
chr14-93	chr14	24163765	24163950	+	1	NA	Intergenic	HERV3-int|LTR|ERV1	58284	NM_005794	10202	Hs.272499	NM_005794	ENSG00000100867	DHRS2	HEP27|SDR25C1	dehydrogenase/reductase 2	protein-coding
chr11-122	chr11	118187413	118187607	+	1	NA	TTS (NM_000733)	TTS (NM_000733)	12215	NM_000733	916	Hs.3003	NM_000733	ENSG00000198851	CD3E	IMD18|T3E|TCRE	CD3e molecule	protein-coding
chr5-86	chr5	87956424	87956629	+	1	NA	intron (NR_152235, intron 2 of 3)	CpG	6231	NR_030741	407047		NR_030741	ENSG00000284447	MIR9-2	MIRN9-2|hsa-mir-9-2|miRNA9-2|mir-9-2	microRNA 9-2	ncRNA
chr9-265	chr9	100908617	100908823	+	1	NA	intron (NM_052820, intron 2 of 11)	intron (NM_052820, intron 2 of 11)	26454	NM_003389	7464	Hs.113094	NM_003389	ENSG00000106789	CORO2A	CLIPINB|IR10|WDR2	coronin 2A	protein-coding
chr17-508	chr17	55952845	55952994	+	1	NA	intron (NM_001292025, intron 3 of 10)	intron (NM_001292025, intron 3 of 10)	-25486	NM_016070	51649	Hs.5836	NM_016070	ENSG00000181610	MRPS23	CGI-138|HSPC329|MRP-S23	mitochondrial ribosomal protein S23	protein-coding
chr5-388	chr5	82561158	82561319	+	1	NA	intron (NM_003401, intron 7 of 7)	intron (NM_003401, intron 7 of 7)	-187966	NM_174909	153339	Hs.355606	NM_174909	ENSG00000174695	TMEM167A	TMEM167	transmembrane protein 167A	protein-coding
chr6-84	chr6	42018261	42018437	+	1	NA	promoter-TSS (NM_138572)	promoter-TSS (NM_138572)	98	NM_138572	129685	Hs.520122	NM_138572	ENSG00000137413	TAF8	II|TAF|TAFII-43|TAFII43|TBN	TATA-box binding protein associated factor 8	protein-coding
chr16-113	chr16	84840239	84840445	+	1	NA	Intergenic	Intergenic	-13245	NM_031476	83716	Hs.513779	NM_031476	ENSG00000103196	CRISPLD2	CRISP11|LCRISP2|LGL1	cysteine rich secretory protein LCCL domain containing 2	protein-coding
chr8-342	chr8	123792398	123792584	+	1	NA	Intergenic	CpG	-1410	NM_014943	22882	Hs.377090	NM_014943	ENSG00000178764	ZHX2	AFR1|RAF	zinc fingers and homeoboxes 2	protein-coding
chr17-273	chr17	73521385	73521585	+	1	NA	promoter-TSS (NM_004524)	promoter-TSS (NM_004524)	-298	NM_001015002	3993	Hs.514477	NM_004524	ENSG00000073350	LLGL2	HGL|Hugl-2|LGL2	LLGL2, scribble cell polarity complex component	protein-coding
chr14-125	chr14	102522045	102522101	+	1	NA	Intergenic	L2a|LINE|L2	31439	NM_005348	3320	Hs.525600	NM_005348	ENSG00000080824	HSP90AA1	EL52|HEL-S-65p|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp103|Hsp89|Hsp90|LAP-2|LAP2	heat shock protein 90 alpha family class A member 1	protein-coding
chr12-440	chr12	53625764	53625794	+	1	NA	5' UTR (NM_001243730, exon 1 of 9)	5' UTR (NM_001243730, exon 1 of 9)	261	NM_000966	5916	Hs.1497	NM_000966	ENSG00000172819	RARG	NR1B3|RARC	retinoic acid receptor gamma	protein-coding
chr3-11	chr3	156892732	156892923	+	1	NA	Intergenic	CpG	-14278	NM_020307	57018	Hs.4859	NM_020307	ENSG00000163660	CCNL1	ANIA6A|BM-001|PRO1073|ania-6a	cyclin L1	protein-coding
chr3-443	chr3	39193779	39193968	+	1	NA	intron (NM_001320560, intron 1 of 4)	intron (NM_001320560, intron 1 of 4)	1229	NM_033027	64651	Hs.370950	NM_033027	ENSG00000144655	CSRNP1	AXUD1|CSRNP-1|FAM130B|TAIP-3|URAX1	cysteine and serine rich nuclear protein 1	protein-coding
chr8-358	chr8	133687836	133687904	+	1	NA	promoter-TSS (NM_001321965)	promoter-TSS (NM_001321965)	-7	NR_135907	23639	Hs.591865	NM_012472	ENSG00000129295	LRRC6	CILD19|LRTP|TSLRP	leucine rich repeat containing 6	protein-coding
chr3-764	chr3	52029805	52030018	+	1	NA	promoter-TSS (NM_000992)	promoter-TSS (NM_000992)	47	NM_000992	6159	Hs.425125	NM_000992	ENSG00000162244	RPL29	HIP|HUMRPL29|L29|RPL29P10|RPL29_3_370	ribosomal protein L29	protein-coding
chr15-29	chr15	89658884	89659098	+	1	NA	intron (NM_007011, intron 6 of 14)	intron (NM_007011, intron 6 of 14)	27610	NM_152924	11057	Hs.122337	NM_007011	ENSG00000140526	ABHD2	HS1-2|LABH2|PHPS1-2	abhydrolase domain containing 2	protein-coding
chr1-40	chr1	166845390	166845595	+	1	NA	5' UTR (NM_053053, exon 1 of 8)	5' UTR (NM_053053, exon 1 of 8)	162	NM_053053	117143	Hs.435967	NM_053053	ENSG00000152382	TADA1	ADA1|HFI1|STAF42|TADA1L|hADA1	transcriptional adaptor 1	protein-coding
chr15-324	chr15	21904272	21904365	+	1	NA	Intergenic	Intergenic	36421	NR_027053	646214	Hs.510697	NR_027053		LOC646214	-	p21 protein (Cdc42/Rac)-activated kinase 2 pseudogene	pseudo
chr5-6	chr5	175875231	175875441	+	1	NA	promoter-TSS (NM_014613)	promoter-TSS (NM_014613)	-20	NM_014613	23197	Hs.484242	NM_014613	ENSG00000113194	FAF2	ETEA|UBXD8|UBXN3B	Fas associated factor family member 2	protein-coding
chr17-656	chr17	5372332	5372536	+	1	NA	promoter-TSS (NR_135644)	promoter-TSS (NR_135644)	22	NR_135644	105371506	Hs.242774	NR_135644	ENSG00000262099	LOC105371506	-	uncharacterized LOC105371506	ncRNA
chr20-290	chr20	33464329	33464545	+	1	NA	5' UTR (NM_001076552, exon 1 of 19)	5' UTR (NM_001076552, exon 1 of 19)	109	NM_001076552	55902	Hs.517034	NM_018677	ENSG00000131069	ACSS2	ACAS2|ACECS|ACS|ACSA|dJ1161H23.1	acyl-CoA synthetase short chain family member 2	protein-coding
chr20-1800	chr20	43976812	43977013	+	1	NA	intron (NM_002999, intron 1 of 4)	CpG	152	NM_002999	6385	Hs.632267	NM_002999	ENSG00000124145	SDC4	SYND4	syndecan 4	protein-coding
chr11-407	chr11	86210883	86211050	+	1	NA	intron (NM_001014811, intron 4 of 13)	intron (NM_001014811, intron 4 of 13)	125188	NM_021827	60494	Hs.144913	NM_021827	ENSG00000149201	CCDC81	-	coiled-coil domain containing 81	protein-coding
chr21-90	chr21	46875401	46875621	+	1	NA	promoter-TSS (NM_130444)	promoter-TSS (NM_130444)	87	NM_030582	80781	Hs.517356	NM_030582	ENSG00000182871	COL18A1	KNO|KNO1|KS	collagen type XVIII alpha 1 chain	protein-coding
chr17-511	chr17	56465241	56465453	+	1	NA	intron (NM_017763, intron 2 of 9)	intron (NM_017763, intron 2 of 9)	14735	NM_001305545	54894	Hs.584916	NM_017763	ENSG00000108375	RNF43	RNF124|SSPCS|URCC	ring finger protein 43	protein-coding
chr7-128	chr7	64146975	64147170	+	1	NA	non-coding (NR_104148, exon 4 of 4)	non-coding (NR_104148, exon 4 of 4)	7630	NR_106898	102465505		NR_106898	ENSG00000275667	MIR6839	hsa-mir-6839	microRNA 6839	ncRNA
chr12-283	chr12	58026809	58027014	+	1	NA	promoter-TSS (NM_001276468)	promoter-TSS (NM_001276468)	111	NM_001276469	2583	Hs.159481	NM_001478	ENSG00000135454	B4GALNT1	GALGT|GALNACT|GalNAc-T|SPG26	beta-1,4-N-acetyl-galactosaminyltransferase 1	protein-coding
chr7-254	chr7	3196225	3196404	+	1	NA	intron (NR_126024, intron 2 of 3)	MER58A|DNA|hAT-Charlie	1892	NR_126024	100129603	Hs.652997	NR_126024		LOC100129603	-	uncharacterized LOC100129603	ncRNA
chr16-786	chr16	89220395	89220417	+	1	NA	intron (NM_174917, intron 10 of 10)	intron (NM_174917, intron 10 of 10)	-5222	NR_024347	283860	Hs.739138	NM_173617	ENSG00000180422	LINC00304	C16orf81|NCRNA00304	long intergenic non-protein coding RNA 304	ncRNA
chr12-26	chr12	125312345	125312543	+	1	NA	intron (NM_001082959, intron 1 of 11)	L2a|LINE|L2	36075	NM_005505	949	Hs.731377	NM_005505	ENSG00000073060	SCARB1	CD36L1|CLA-1|CLA1|HDLQTL6|SR-BI|SRB1	scavenger receptor class B member 1	protein-coding
chr2-574	chr2	61404179	61404238	+	1	NA	promoter-TSS (NR_152210)	promoter-TSS (NR_152210)	-345	NR_152211	130872	Hs.655602	NM_152392	ENSG00000173209	AHSA2P	AHA1|AHSA2|Hch1	activator of HSP90 ATPase homolog 2, pseudogene	pseudo
chr12-267	chr12	52637947	52638070	+	1	NA	TTS (NR_146274)	TTS (NR_146274)	3224	NR_146274	109729127	Hs.670221	NR_146274	ENSG00000257671	KRT7-AS	-	KRT7 antisense RNA 1	ncRNA
chr17-1491	chr17	57425644	57425722	+	1	NA	intron (NM_001005404, intron 1 of 4)	intron (NM_001005404, intron 1 of 4)	16630	NM_001005404	388403	Hs.463613	NM_001005404	ENSG00000175155	YPEL2	FKSG4	yippee like 2	protein-coding
chr16-53	chr16	2954485	2954516	+	1	NA	Intergenic	CpG	-7480	NM_032296	84256	Hs.655321	NM_020912	ENSG00000059122	FLYWCH1	-	FLYWCH-type zinc finger 1	protein-coding
chr1-69	chr1	201139816	201139930	+	1	NA	intron (NM_001288564, intron 1 of 5)	intron (NM_001288564, intron 1 of 5)	837	NM_001288564	252839	Hs.181444	NM_016456	ENSG00000116857	TMEM9	DERM4|TMEM9A	transmembrane protein 9	protein-coding
chr2-356	chr2	85765782	85765976	+	1	NA	promoter-TSS (NM_005911)	promoter-TSS (NM_005911)	130	NR_038942	100630918	Hs.66049	NR_038942		PARTICL	PARTICLE	promoter of MAT2A antisense radiation-induced circulating long non-coding RNA	ncRNA
chr8-118	chr8	143475118	143475314	+	1	NA	intron (NM_001291931, intron 1 of 10)	intron (NM_001291931, intron 1 of 10)	9394	NM_001291931	203062	Hs.370931	NM_145003	ENSG00000171045	TSNARE1	-	t-SNARE domain containing 1	protein-coding
chr3-287	chr3	49466926	49466993	+	1	NA	promoter-TSS (NM_032316)	promoter-TSS (NM_032316)	-202	NM_032316	84276	Hs.191460	NM_032316	ENSG00000145029	NICN1	-	nicolin 1	protein-coding
chr1-94	chr1	47943898	47944085	+	1	NA	Intergenic	Intergenic	-41002	NR_126355	102724077	Hs.159718	NR_126355		LINC01389	-	long intergenic non-protein coding RNA 1389	ncRNA
chr1-139	chr1	202015491	202015663	+	1	NA	Intergenic	Intergenic	35887	NM_001114309	1999	Hs.603657	NM_004433	ENSG00000163435	ELF3	EPR-1|ERT|ESE-1|ESX	E74 like ETS transcription factor 3	protein-coding
chr10-19	chr10	95194941	95195140	+	1	NA	intron (NM_013451, intron 3 of 53)	MIR3|SINE|MIR	47034	NM_133337	26509	Hs.602086	NM_013451	ENSG00000138119	MYOF	FER1L3	myoferlin	protein-coding
chr14-69	chr14	23790225	23790420	+	1	NA	promoter-TSS (NM_001360551)	promoter-TSS (NM_001360551)	-344	NM_001360551	8106	Hs.707712	NM_004643	ENSG00000100836	PABPN1	OPMD|PAB2|PABII|PABP-2|PABP2	poly(A) binding protein nuclear 1	protein-coding
chr21-63	chr21	33651268	33651459	+	1	NA	promoter-TSS (NM_018944)	promoter-TSS (NM_018944)	13	NM_018944	54069	Hs.190518	NM_018944	ENSG00000159055	MIS18A	B28|C21orf45|C21orf46|FASP1|MIS18alpha|hMis18alpha	MIS18 kinetochore protein A	protein-coding
chr8-9	chr8	145734219	145734390	+	1	NA	promoter-TSS (NR_130120)	promoter-TSS (NR_130120)	-115	NR_130120	113655	Hs.7678	NM_138431	ENSG00000167700	MFSD3	-	major facilitator superfamily domain containing 3	protein-coding
chr3-975	chr3	123051303	123051426	+	1	NA	intron (NM_001199642, intron 4 of 20)	intron (NM_001199642, intron 4 of 20)	83825	NM_001199642	111	Hs.593292	NM_183357	ENSG00000173175	ADCY5	AC5|FDFM	adenylate cyclase 5	protein-coding
chr2-345	chr2	71974313	71974337	+	1	NA	Intergenic	Intergenic	280493	NM_001130987	8291	Hs.252180	NM_003494	ENSG00000135636	DYSF	FER1L1|LGMD2B|MMD1	dysferlin	protein-coding
chr8-594	chr8	124645219	124645334	+	1	NA	Intergenic	Intergenic	19914	NM_001081675	340359	Hs.450252	NM_001081675	ENSG00000175946	KLHL38	C8ORFK36	kelch like family member 38	protein-coding
chr20-574	chr20	39973304	39973505	+	1	NA	intron (NR_126051, intron 1 of 19)	intron (NR_126051, intron 1 of 19)	3911	NM_001301860	64900	Hs.25897	NM_022896	ENSG00000132793	LPIN3	LIPN3L|SMP2	lipin 3	protein-coding
chr1-1087	chr1	236563083	236563152	+	1	NA	intron (NM_080738, intron 1 of 5)	intron (NM_080738, intron 1 of 5)	4401	NM_080738	128178	Hs.352224	NM_080738	ENSG00000186197	EDARADD	ECTD11A|ECTD11B|ED3|EDA3	EDAR associated death domain	protein-coding
chr20-72	chr20	49039791	49039993	+	1	NA	Intergenic	Intergenic	-86966	NM_002827	5770	Hs.417549	NM_002827	ENSG00000196396	PTPN1	PTP1B	protein tyrosine phosphatase, non-receptor type 1	protein-coding
chr19-37	chr19	30970282	30970502	+	1	NA	intron (NM_001352260, intron 2 of 5)	intron (NM_001352260, intron 2 of 5)	107092	NM_001352260	9745	Hs.378901	NM_014717	ENSG00000198597	ZNF536	-	zinc finger protein 536	protein-coding
chr6-60	chr6	47445509	47445668	+	1	NA	promoter-TSS (NM_012120)	promoter-TSS (NM_012120)	63	NM_012120	23607	Hs.485518	NM_012120	ENSG00000198087	CD2AP	CMS	CD2 associated protein	protein-coding
chr17-1767	chr17	74273157	74273354	+	1	NA	non-coding (NR_130649, exon 16 of 19)	non-coding (NR_130649, exon 16 of 19)	11969	NM_182565	283991	Hs.744981	NM_182565	ENSG00000185262	UBALD2	FAM100B	UBA like domain containing 2	protein-coding
chr15-330	chr15	33360109	33360316	+	1	NA	promoter-TSS (NM_001103184)	promoter-TSS (NM_001103184)	21	NM_001103184	342184	Hs.657649	NM_198500	ENSG00000248905	FMN1	FMN|LD	formin 1	protein-coding
chr8-236	chr8	131045512	131045667	+	1	NA	Intergenic	MER65A|LTR|ERV1	-16214	NM_001353245	51571	Hs.126941	NM_016623	ENSG00000153310	FAM49B	BM-009|L1	family with sequence similarity 49 member B	protein-coding
chr6-439	chr6	151720965	151721170	+	1	NA	Intergenic	Intergenic	-8232	NM_020861	57621	Hs.520073	NM_020861	ENSG00000181472	ZBTB2	ZNF437	zinc finger and BTB domain containing 2	protein-coding
chr7-437	chr7	19748653	19748845	+	1	NA	promoter-TSS (NM_001002926)	promoter-TSS (NM_001002926)	-89	NM_001002926	221830	Hs.353035	NM_001002926	ENSG00000105849	TWISTNB	-	TWIST neighbor	protein-coding
chr9-367	chr9	14326436	14326642	+	1	NA	intron (NM_001190738, intron 1 of 8)	intron (NM_001190738, intron 1 of 8)	-12494	NM_001190737	4781	Hs.644095	NM_005596	ENSG00000147862	NFIB	CTF|HMGIC/NFIB|NF-I/B|NF1-B|NFI-B|NFI-RED|NFIB2|NFIB3	nuclear factor I B	protein-coding
chr2-704	chr2	164204637	164204851	+	1	NA	Intergenic	CpG	387773	NM_018086	55137	Hs.593650	NM_018086	ENSG00000182263	FIGN	-	fidgetin, microtubule severing factor	protein-coding
chr15-80	chr15	77925870	77926053	+	1	NA	intron (NM_001301195, intron 3 of 3)	CpG-8131	-1092	NM_032808	84894	Hs.656765	NM_032808	ENSG00000169783	LINGO1	LERN1|LRRN6A|UNQ201	leucine rich repeat and Ig domain containing 1	protein-coding
chr21-8	chr21	44763005	44763180	+	1	NA	Intergenic	Intergenic	-11173	NR_103713	100126693	Hs.473952	NR_103713		LINC00322	C21orf136|NCRNA00322	long intergenic non-protein coding RNA 322	ncRNA
chr17-650	chr17	77805687	77805768	+	1	NA	Intergenic	Intergenic	7486	NM_003655	8535	Hs.405046	NM_003655	ENSG00000141582	CBX4	NBP16|PC2	chromobox 4	protein-coding
chr11-71	chr11	2214639	2214856	+	1	NA	Intergenic	Intergenic	20454	NR_039834	100616126		NR_039834	ENSG00000265258	MIR4686	-	microRNA 4686	ncRNA
chr8-47	chr8	29144383	29144587	+	1	NA	Intergenic	Intergenic	-23875	NM_015254	23303	Hs.444767	NM_015254	ENSG00000197892	KIF13B	GAKIN	kinesin family member 13B	protein-coding
chr9-286	chr9	123964112	123964217	+	1	NA	5' UTR (NM_016322, exon 1 of 8)	5' UTR (NM_016322, exon 1 of 8)	201	NM_016322	51552	Hs.371563	NM_016322	ENSG00000119396	RAB14	FBP|RAB-14	RAB14, member RAS oncogene family	protein-coding
GL000205.1-1	GL000205.1	85198	85343	+	1	NA	NA	NA	NA	NA								
chr1-286	chr1	40562893	40563070	+	1	NA	5' UTR (NM_001142604, exon 1 of 6)	5' UTR (NM_001142604, exon 1 of 6)	161	NM_001142604	5538	Hs.3873	NM_000310	ENSG00000131238	PPT1	CLN1|INCL|PPT	palmitoyl-protein thioesterase 1	protein-coding
